"geo","year","hourly_wages","hicp","business_investment","low_education","middle_education","high_education","hh_index","partime_contracts","productivity_pp","productivity_1","productivity_2","realgdp_pc","tradeunion_density","training_education_l4w","unemployment"
"Hungary",2016,7.26930710943375,88.7759611135661,13.12,21.8,57.6,20.6,0.0924421187291812,4.8,99.154,100,98.835,11850,9.1999998,10.5,5
"Hungary",2018,7.78613946013754,93.5395492708794,14.9,20.1,58.2,21.8,0.091200953367354,4.2,105.141,101.463,99.154,13100,8.3000002,9.9,3.6
"Ireland",2009,26.8063903526707,96.6403162055336,12.18,30.7,36.7,32.6,0.0943270723214623,21.3,71.154,68.721,71.236,41890,31.9,10.8,12.6
"Ireland",2010,26.4763703502525,95.0592885375494,10.84,29.9,36.2,33.9,0.104819526683484,22.4,75.754,71.154,68.721,42400,31.6,11.3,14.6
"Ireland",2011,26.1501727689353,96.2450592885375,11.57,29.1,36.5,34.4,0.109182681890588,23.3,78.518,75.754,71.154,42920,31.6,11.4,15.4
"Ireland",2012,26.0518740130317,98.0237154150198,15.35,28.2,36.1,35.7,0.0991761185819029,23.7,78.536,78.518,75.754,42580,30.1,11.7,15.5
"Ireland",2013,25.359752161435,98.5177865612648,14.18,26.6,36.1,37.3,0.092281249312085,23.7,77.962,78.536,78.518,43300,28.5,11.8,13.8
"Ireland",2014,25.3769705909468,98.8142292490119,16.06,24,38.1,38,0.100143120263467,23,83.059,77.962,78.536,47010,26.299999,11.4,11.9
"Ireland",2015,26.0300543929197,98.8142292490119,20.93,23.5,37.5,39,0.10963333924157,22.2,100,83.059,77.962,58040,25.4,10.9,9.9
"Ireland",2016,26.2691881411944,98.6166007905138,30.26,23,37.6,39.5,0.111598486115397,21.9,97.526,100,83.059,58050,23.4,10.9,8.4
"Ireland",2017,26.749686194694,98.9130434782609,28.8,21.8,37.8,40.4,0.114288801727491,20.1,104.076,97.526,100,62970,24.299999,13.7,6.7
"Ireland",2018,27.0267106258625,99.6047430830039,23.76,21.5,38,40.5,0.116848976165893,19.5,108.657,104.076,97.526,66760,24.1,16.9,5.8
"Ireland",2019,27.7049175721049,100.494071146245,49.43,21,38.3,40.7,0.121902998668576,19.7,110.655,108.657,104.076,69040,25.1,17.4,5
"Ireland",2020,30.4231584769982,100,37.72,19.6,37.6,42.8,0.126287326743749,18.2,121.605,110.655,108.657,73000,26.200001,16,5.9
"Italy",2009,22.0975979943364,88.4466019417476,9.75,47.1,40.1,12.8,0.0446203156112965,14.1,100.152,103.99,105.299,28470,34.700001,9.8,7.9
"Italy",2010,22.2523730322465,89.9029126213592,10.21,46.3,40.7,13,0.0427563728465213,14.8,102.271,100.152,103.99,28780,35.299999,9.9,8.5
"Italy",2011,21.8212084888438,92.5242718446602,10.39,45.5,41.4,13.2,0.0434234674548807,15.2,102.732,102.271,100.152,28880,35.200001,9.6,8.5
"Italy",2012,21.3267540161342,95.5339805825243,9.72,44.2,41.9,13.9,0.0418033987139521,16.8,99.771,102.732,102.271,27900,35.5,10.3,10.9
"Italy",2013,21.4296434061103,96.7961165048544,9.16,43.4,42.2,14.4,0.040667296850341,17.6,99.777,99.771,102.732,27340,35.700001,9.9,12.4
"Italy",2014,21.3867412171091,96.9902912621359,9.33,42.3,42.7,15,0.0416651370357134,18.1,99.77,99.777,99.771,27330,35.400002,11.5,12.9
"Italy",2015,21.5552687378999,97.0873786407767,9.61,41.9,42.7,15.5,0.0424286978845074,18.3,100,99.77,99.777,27620,34.200001,11,12
"Italy",2016,21.4817934002962,96.9902912621359,9.99,41.6,42.7,15.7,0.0432558161576759,18.5,99.808,100,99.77,28010,33.599998,11.8,11.7
"Italy",2017,21.2786463355379,98.3495145631068,10.35,40.9,42.6,16.5,0.0412149215595006,18.5,100.23,99.808,100,28510,33.200001,11.5,11.3
"Italy",2018,21.3074537862554,99.5145631067961,10.78,40.2,42.6,17.2,0.0446152639782148,18.3,100.043,100.23,99.808,28810,32.599998,11.6,10.6
"Italy",2019,21.5309773788058,100.194174757282,10.87,39.7,42.8,17.5,0.0436546830975973,18.7,99.858,100.043,100.23,29000,32.5,11.7,9.9
"Latvia",2009,6.06511780234537,86.6415024857301,14.6,21.5,57,21.4,0.0538753828822467,8.2,85.371,87.095,89.387,9620,15.2,11.9,17.7
"Latvia",2010,5.709261204229,85.582765604861,12.09,19.5,57.8,22.6,0.0583164477274341,9.4,88.117,85.371,87.095,9470,15.1,11.5,19.7
"Latvia",2011,5.58161385480519,89.1916774074756,14.99,19.5,56.8,23.6,0.0585907485443885,8.8,89.444,88.117,85.371,9940,13.7,11.6,16.3
"Latvia",2012,6.06347484613905,91.2262935002762,17.66,17.4,57.4,25.2,0.0572227941281993,8.9,94.607,89.444,88.117,10790,13.2,12.7,15.1
"Latvia",2013,6.36536382432766,91.2447063155956,17.24,16.6,56.4,27,0.0608258105337789,7.5,94.416,94.607,89.444,11130,12.9,12.1,11.9
"Latvia",2014,6.72338434174475,91.8707420364574,15.61,16.1,57,26.9,0.0592994750845677,6.8,97.714,94.416,94.607,11470,12.8,10.5,10.9
"Latvia",2015,7.41023324421499,92.0640765973117,13.57,15.6,56.3,28.1,0.0688921787764906,7.2,100,97.714,94.416,12010,12.7,10,9.9
"Latvia",2016,8.0030599068121,92.156140673909,13.24,14.9,55.6,29.5,0.0657909687290337,8.5,102.864,100,97.714,12430,12.4,11.1,9.7
"Latvia",2017,8.36106086332313,94.8259988952311,13.53,15.2,54.8,30,0.0603787529542179,7.7,106.398,102.864,100,12970,12.3,10.9,8.7
"Latvia",2018,8.72169119731775,97.2472841097404,13.32,15.3,54.7,30.1,0.0553639959461057,7.3,108.786,106.398,102.864,13630,11.6,10,7.4
"Lithuania",2009,6.14136563446156,82.5634999548043,9.88,18,56.5,25.5,0.0507219390178509,7.9,82.225,89.171,85.775,9570,10,12.5,13.8
"Lithuania",2010,5.95859789733614,83.5487661574618,8.71,17.1,56,26.9,0.0500312973357661,7.8,87.21,82.225,89.171,9810,10.1,12.4,17.8
"Lithuania",2011,6.14660990497236,86.9926782970261,10.47,15.9,56.3,27.9,0.0545543177427218,8.3,92.219,87.21,82.225,10670,9.6999998,13.8,15.4
"Lithuania",2012,6.2665908285391,89.7405766970984,10.4,15,56.4,28.6,0.0539628396587319,8.9,94.471,92.219,87.21,11280,9,13.1,13.4
"Lithuania",2013,6.60039497273121,90.7891168760734,11.16,14.4,55.8,29.8,0.0525793040177854,8.4,96.966,94.471,92.219,11850,8.3999996,12.7,11.8
"Lithuania",2014,6.88856844719849,91.0060562234475,11.57,14.2,54.3,31.4,0.053142327828377,8.6,98.613,96.966,94.471,12400,8.1000004,11.8,10.7
"Lithuania",2015,7.24138471466765,90.3913947392208,11.31,13.8,53,33.2,0.0456028609244904,7.6,100,98.613,96.966,12860,7.9000001,12,9.1
"Lithuania",2016,7.49638331018659,91.0060562234475,11.73,12.4,53.5,34.1,0.0440317954940197,7.1,100.399,100,98.613,13360,7.6999998,12.1,7.9
"Lithuania",2017,8.10695338324123,94.3866943866944,12.54,12,53.2,34.8,0.0428153666574663,7.6,105.788,100.399,100,14150,7.6999998,12,7.1
"Lithuania",2018,8.47784507970198,96.7820663472837,13.24,11.7,52.3,36.1,0.043873374406771,7.1,109.487,105.788,100.399,14970,7.0999999,12.4,6.2
"Lithuania",2019,9.22366133820312,98.951459821025,13.76,11.1,51,37.9,0.0424321320999428,6.4,114.01,109.487,105.788,15710,7.4000001,12.3,6.3
"Luxembourg",2009,41.7202571222512,83.970546587369,8.78,28.5,41.3,30.2,0.104656650878126,17.6,99.615,103.97,109.228,94170,36.799999,18.7,5.1
"Luxembourg",2010,41.1181762946175,86.321155480034,8.41,28.9,40.8,30.3,0.0944547420320101,17.5,101.49,99.615,103.97,95920,36.099998,18.9,4.4
"Luxembourg",2011,41.1843283969064,89.5402624374587,10.61,29.1,39.3,31.7,0.0912753223764621,18,99.606,101.49,99.615,94700,36.599998,19.5,4.9
"Luxembourg",2012,40.728500722865,92.1268762390258,11.18,28.4,38.2,33.4,0.0914206555030814,18.5,98.835,99.606,101.49,94080,35.299999,19.4,5.1
"Luxembourg",2013,41.5232432605656,93.6939488341357,10.51,26.1,38.6,35.2,0.0909672378981769,18.7,100.15,98.835,99.606,94600,34.799999,19.7,5.9
"Luxembourg",2014,42.0182966237749,94.3453223827056,10.56,24.9,35.5,39.6,0.0894443435830839,18.5,100.285,100.15,98.835,94820,34.099998,19.4,5.9
"Luxembourg",2015,42.3837190006453,94.4019635608421,8.81,30.3,34.5,35.2,0.0912964321836112,18.5,100,100.285,100.15,95090,33.299999,23.2,6.7
"Luxembourg",2016,42.7572494557077,94.4397243462664,8.84,28.2,35.4,36.4,0.0922940012198089,19.2,101.89,100,100.285,97300,32.299999,21.1,6.3
"Luxembourg",2017,43.4037060938508,96.4316057774002,9.05,30.5,35.4,34.1,0.0877300370029685,19.6,99.73,101.89,100,96460,32.099998,21,5.5
"Luxembourg",2018,43.8576936156078,98.3762862267535,7.88,27.6,34.2,38.3,0.0883354667753614,17.8,97.443,99.73,101.89,95740,30.4,21.5,5.6
"Luxembourg",2019,44.0674840969853,100,9.94,26.7,32.3,41,0.0839870826931615,17,96.907,97.443,99.73,96520,28.200001,22.4,5.6
"Netherlands",2009,33.3017941738277,85.2655198204937,10.1,32.6,40.6,26.8,0.0884240039309188,47,93.725,96.429,95.958,39930,20,21.9,5.4
"Netherlands",2010,33.3156545536061,86.0602094240838,9.48,31.8,40.5,27.7,0.0846320379554738,48.1,95.622,93.725,96.429,40250,19.5,22,6.1
"Netherlands",2011,33.0365771487494,88.1824981301421,10.42,31.6,40.4,28,0.0885255555666474,48.3,96.536,95.622,93.725,40770,19.299999,22,6
"Netherlands",2012,33.0421391451606,90.6787584143605,10.18,30.8,40.6,28.6,0.0893686405310875,49,95.842,96.536,95.622,40230,18.799999,21.7,6.8
"Netherlands",2013,32.6148611611301,92.9973821989529,10.37,29,41.6,29.3,0.0906963358405941,49.8,96.999,95.842,96.536,40100,18.200001,22.2,8.2
"Netherlands",2014,32.8067202395428,93.2965594614809,9.34,28.8,41.4,29.7,0.0901980322948603,49.6,98.711,96.999,95.842,40600,18.1,22.6,8.4
"Netherlands",2015,32.8364340370609,93.492894540015,13.26,28.4,41.1,30.5,0.0849303018649887,50,100,98.711,96.999,41270,17.700001,23.2,7.9
"Netherlands",2016,33.095852329562,93.595736724009,10.43,27.9,41.1,31,0.0834906663915637,49.7,100.895,100,98.711,42050,17.299999,23.1,7
"Netherlands",2017,33.0637962595753,94.8017950635752,10.53,26.6,41.3,32.1,0.078563691405896,49.8,101.347,100.895,100,42970,16.799999,23.4,5.9
"Netherlands",2018,33.1181681880573,96.3163799551234,10.31,26,40.9,33,0.0834918643693506,50.1,100.924,101.347,100.895,43680,16.5,23.3,4.9
"Netherlands",2019,33.0930308730643,98.8967838444278,10.89,25.5,39.7,34.8,0.0798470231711984,50.2,100.959,100.924,101.347,44390,15.4,23.6,4.4
"Poland",2009,5.32198531859782,83.1491712707182,11.16,18.7,63.2,18.1,0.0876803957932503,7.7,83.972,82.131,81.672,9330,15.4,13.7,8.5
"Poland",2010,6.15623665798158,85.3591160220995,8.64,18,62.6,19.4,0.0867602427317026,7.7,88.995,83.972,82.131,9740,17.4,12.5,10
"Poland",2011,6.13403019684441,88.6740331491713,9.34,17.5,62.2,20.3,0.0881436265411197,7.3,93.145,88.995,83.972,10250,17.299999,11.5,10
"Poland",2012,6.01922938714157,91.8968692449355,9.37,16.7,61.8,21.5,0.0829731574155043,7.2,94.446,93.145,88.995,10400,16.6,11.3,10.4
"Poland",2014,6.16428066135008,92.7255985267035,10.32,15.5,60.7,23.8,0.0877691013673247,7.1,97.211,95.16,94.446,10900,16.5,10,9.2
"Poland",2016,6.42051134628435,91.8968692449355,10.37,14.6,60.2,25.2,0.0902572086787064,6.4,102.201,100,97.211,11740,14.1,9.1,6.3
"Poland",2017,6.91162664342062,93.3701657458564,9.46,13.9,59.8,26.3,0.0811816352683154,6.6,106.049,102.201,100,12340,13.4,9,5
"Portugal",2009,11.3198593537389,88.7719636995559,12.38,69.2,17.7,13.1,0.101255299043098,8.5,95.55,95.942,95.987,17460,20.4,10.3,11.2
"Portugal",2010,11.2680782201512,89.9980691253138,10.73,67.3,18.8,13.9,0.0947395497563485,8.5,98.615,95.55,95.942,17750,19.6,9.8,12.6
"Portugal",2011,10.8805702473844,93.2033211044603,10.75,64.2,20.3,15.5,0.088475142387477,10.3,98.795,98.615,95.55,17450,18.6,14.9,13.5
"Portugal",2015,10.3131188347008,96.5437343116432,10.4,54.3,25,20.7,0.0823264245378621,9.9,100,99.944,100.744,17280,16.1,13.8,13
"Portugal",2016,10.3424191929281,97.1616142112377,10.92,52.9,25.6,21.4,0.0837318968690804,9.5,100.243,100,99.944,17670,15.3,13.7,11.5
"Slovenia",2009,15.0253420065479,87.7408891432933,14.22,20.8,59.6,19.6,0.0747850492342363,9.5,93.038,99.03,98.195,18290,40.400002,20.4,5.9
"Slovenia",2010,15.1346122955261,89.5439801564587,11.79,20.9,58.9,20.2,0.074757719477174,10.3,96.095,93.038,99.03,18420,32.599998,21.5,7.3
"Slovenia",2011,15.2300252142151,91.4043121541691,11.96,19.7,58.8,21.6,0.0807795402970859,9.5,98.376,96.095,93.038,18510,36.700001,21.4,8.2
"Slovenia",2012,14.814098637299,93.9706162946003,11.44,19,58,23,0.0800867204390743,9,96.389,98.376,96.095,17930,26.799999,19.3,8.9
"Slovenia",2013,14.4375021349102,95.7832474718565,11.97,18.5,57.1,24.4,0.0759496863949812,9.3,96.683,96.389,98.376,17760,26.200001,18.3,10.1
"Slovenia",2014,14.4803881688394,96.1362335432169,10.79,18.4,56.5,25.1,0.0756607509796867,10,98.941,96.683,96.389,18230,29.4,17.4,9.7
"Slovenia",2015,14.6885221720291,95.4016409082236,10.59,17.4,55.9,26.6,0.0770583579482152,10.1,100,98.941,96.683,18660,23.799999,16.4,9
"Spain",2009,19.5353743980922,88.7210085651044,11.02,49.5,23.2,27.4,0.0677327907642046,12.4,92.669,90.223,89.601,23310,18.299999,14.2,17.9
"Spain",2010,19.4483948507033,90.5398902896737,10.84,48.1,23.4,28.4,0.0653734748016098,12.9,94.469,92.669,90.223,23230,18.200001,14.8,19.9
"Spain",2011,18.8746130343941,93.2922721585988,11.21,47,23.7,29.3,0.0607393197254256,13.5,96.198,94.469,92.669,23000,17.9,14.9,21.4
