DATAFLOW,LAST UPDATE,freq,unit,na_item,sector,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Switzerland,1998,17.81,
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Switzerland,1999,18.39,
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Switzerland,2000,19.07,
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Switzerland,2001,18.77,
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Switzerland,2002,19.14,
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Switzerland,2003,18.31,
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Switzerland,2004,18.93,
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Switzerland,2005,19.01,
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Switzerland,2006,19.24,
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Switzerland,2007,19.60,
